ANNO;MESE;CCAUS_SDOCU;CTIPO_DRIGD;NPROT_DDOCU;DREGI_DDOCU;NDOCU;NDOCU_SSUFF;DDOCU;YCALE_DRIVA;CRIVA;NPROT_DRIVA;NPROT_PBISX;CARTI;TARTI;CUNMI_DMAGA;QMOMA; APREZ ;PSCON_ORICA_1;PSCON_ORICA_2;PSCON_ORICA_3;PSCON_ORICA_4;PSCON_ORICA_5;PSCON_ORICA_6;APREZ_SNETT; AVALO ;PSCON_ORICA_T1;PSCON_ORICA_T2;PSCON_ORICA_T3;PSCON_ORICA_T4;PSCON_ORICA_T5;PSCON_ORICA_T6;CMPAG;TMPAG;CPORT;TPORT;NRIGA_DDOCU_B;TRASO_DSOCI;CSOCI;CTIPO_DLOTT;CLOTT;NCOCG;TRASO;TINDI;RINDI;DEC_QUANTITA;DEC_PREZZO;CODICE_VETTORE;DESCR_VETTORE;ORD_CLI;CTIPO_DCDCX;NCOCG;TRASO;CNAZI;CREGI;AGENTE
2023;06;BCIV;BCIV;557;15/06/2023 00:00;;;15/06/2023 00:00;2023;V01;290;0;SP04;SATELLITE Z14 M0.6;Nr;600; 1,40 ? ;0;0;0;0;0;0;1,4; 840,00 ? ;;;;;;;AR10;RIBA 30 GG FM;ASS;PORTO ASSEGNATO;10;Microingranaggi Srl;MIIN;0;0;10169;Default;ACQUATECHNIK GROUP SPA;Via P.F Calvi, 40;0;4;0;Default;OIC / 2023 / 70 / 230;E2300259;10169;AQUATECHNIK GROUP SPA;IT;LOM;UBERTI LUCA
2023;06;BCIV;BCIV;520;06/06/2023 00:00;;;06/06/2023 00:00;2023;V01;290;0;SP17;RASAMENTO X Z9 -  De22xDi7,4x0,3;Nr;200; 0,40 ? ;0;0;0;0;0;0;0,4; 80,00 ? ;;;;;;;AR10;RIBA 30 GG FM;ASS;PORTO ASSEGNATO;110;Microingranaggi Srl;MIIN;0;0;10169;Default;AQUATECHNIK GROUP SPA;Via P.F Calvi, 40;0;4;0;Default;OIC / 2023 / 70 / 260;E2300262;10169;AQUATECHNIK GROUP SPA;IT;LOM;UBERTI LUCA
2023;06;BCIV;BCIV;520;06/06/2023 00:00;;;06/06/2023 00:00;2023;V01;290;0;SP74;DISCO PORTASAT. Z9 INT. SPINE 14,9xK5.33 COMPLETO;Nr;100; 2,90 ? ;0;0;0;0;0;0;2,9; 290,00 ? ;;;;;;;AR10;RIBA 30 GG FM;ASS;PORTO ASSEGNATO;20;Microingranaggi Srl;MIIN;0;0;10169;Default;AQUATECHNIK GROUP SPA;Via P.F Calvi, 40;0;4;0;Default;OIC / 2023 / 70 / 160;E2300252;10169;AQUATECHNIK GROUP SPA;IT;LOM;UBERTI LUCA
2023;06;BCIV;BCIV;520;06/06/2023 00:00;;;06/06/2023 00:00;2023;V01;290;0;SP04;SATELLITE Z14 M0.6;Nr;600; 1,40 ? ;0;0;0;0;0;0;1,4; 840,00 ? ;;;;;;;AR10;RIBA 30 GG FM;ASS;PORTO ASSEGNATO;30;Microingranaggi Srl;MIIN;0;0;10169;Default;AQUATECHNIK GROUP SPA;Via P.F Calvi, 40;0;4;0;Default;OIC / 2023 / 70 / 170;E2300253;10169;AQUATECHNIK GROUP SPA;IT;LOM;UBERTI LUCA
2023;06;BCIV;BCIV;520;06/06/2023 00:00;;;06/06/2023 00:00;2023;V01;290;0;SP09-02;CORONA RID. L23,5 - REV.01;Nr;100; 7,30 ? ;0;0;0;0;0;0;7,3; 730,00 ? ;;;;;;;AR10;RIBA 30 GG FM;ASS;PORTO ASSEGNATO;40;Microingranaggi Srl;MIIN;0;0;10169;Default;AQUATECHNIK GROUP SPA;Via P.F Calvi, 40;0;4;0;Default;OIC / 2023 / 70 / 180;E2300254;10169;AQUATECHNIK GROUP SPA;IT;LOM;UBERTI LUCA
2023;06;BCIV;BCIV;520;06/06/2023 00:00;;;06/06/2023 00:00;2023;V01;290;0;RLNRA031098G2100CR6;RL031000 D3x9,8G2 TIPO NRA;Nr;300; 0,10 ? ;0;0;0;0;0;0;0,1; 30,00 ? ;;;;;;;AR10;RIBA 30 GG FM;ASS;PORTO ASSEGNATO;50;Microingranaggi Srl;MIIN;0;0;10169;Default;AQUATECHNIK GROUP SPA;Via P.F Calvi, 40;0;4;0;Default;OIC / 2023 / 70 / 190;E2300255;10169;AQUATECHNIK GROUP SPA;IT;LOM;UBERTI LUCA
2023;06;BCIV;BCIV;520;06/06/2023 00:00;;;06/06/2023 00:00;2023;V01;290;0;SP17;RASAMENTO X Z9 -  De22xDi7,4x0,3;Nr;200; 0,40 ? ;0;0;0;0;0;0;0,4; 80,00 ? ;;;;;;;AR10;RIBA 30 GG FM;ASS;PORTO ASSEGNATO;60;Microingranaggi Srl;MIIN;0;0;10169;Default;AQUATECHNIK GROUP SPA;Via P.F Calvi, 40;0;4;0;Default;OIC / 2023 / 70 / 200;E2300256;10169;AQUATECHNIK GROUP SPA;IT;LOM;UBERTI LUCA
2023;06;BCIV;BCIV;520;06/06/2023 00:00;;;06/06/2023 00:00;2023;V01;290;0;AQT01-00;ASSIEME MOTORE Z9 + MOT. METABO;Nr;2; 7,60 ? ;0;0;0;0;0;0;7,6; 15,20 ? ;;;;;;;AR10;RIBA 30 GG FM;ASS;PORTO ASSEGNATO;70;Microingranaggi Srl;MIIN;OP;2023000003540020;10169;Default;AQUATECHNIK GROUP SPA;Via P.F Calvi, 40;0;4;0;Default;OIC / 2023 / 70 / 215;E2300343;10169;AQUATECHNIK GROUP SPA;IT;LOM;UBERTI LUCA
2023;06;BCIV;BCIV;520;06/06/2023 00:00;;;06/06/2023 00:00;2023;V01;290;0;SP74;DISCO PORTASAT. Z9 INT. SPINE 14,9xK5.33 COMPLETO;Nr;100; 2,90 ? ;0;0;0;0;0;0;2,9; 290,00 ? ;;;;;;;AR10;RIBA 30 GG FM;ASS;PORTO ASSEGNATO;80;Microingranaggi Srl;MIIN;0;0;10169;Default;AQUATECHNIK GROUP SPA;Via P.F Calvi, 40;0;4;0;Default;OIC / 2023 / 70 / 220;E2300258;10169;AQUATECHNIK GROUP SPA;IT;LOM;UBERTI LUCA
2023;06;BCIV;BCIV;520;06/06/2023 00:00;;;06/06/2023 00:00;2023;V01;290;0;AQT01-00;ASSIEME MOTORE Z9 + MOT. METABO;Nr;100; 7,60 ? ;0;0;0;0;0;0;7,6; 760,00 ? ;;;;;;;AR10;RIBA 30 GG FM;ASS;PORTO ASSEGNATO;10;Microingranaggi Srl;MIIN;OP;2023000003540020;10169;Default;AQUATECHNIK GROUP SPA;Via P.F Calvi, 40;0;4;0;Default;OIC / 2023 / 70 / 155;E2300342;10169;AQUATECHNIK GROUP SPA;IT;LOM;UBERTI LUCA
